Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Mukono	0.779633	32.992199	1998	2005	6	13	54	2	0.03704
Africa	Uganda	UG	Kamuli	1.43714	32.862	2002	2002	5	60	78	38	0.48718
Africa	Uganda	UG	Iganga	0.521867	33.404598	1998	2005	6	12	122	2	0.01639
Africa	Uganda	UG	Jinja	0.59755	33.076302	1998	2005	7	14	126	2	0.01587
Africa	Uganda	UG	Soroti	2.07183	33.801498	1998	2005	7	14	41	0	0
Africa	Uganda	UG	Iganga	0.32108	33.628201	2002	2002	5	60	109	82	0.75229
Africa	Uganda	UG	Hoima	1.43615	30.99	1998	2005	8	16	60	48	0.8
Africa	Uganda	UG	Apac	1.98438	32.5406	1998	2005	7	12	59	0	0
Africa	Uganda	UG	Soroti	2.27633	33.772499	1998	2005	7	13	42	0	0
Africa	Uganda	UG	Hoima	1.1926	30.7834	2002	2002	5	60	34	30	0.88235
Africa	Uganda	UG	Kisoro	-1.33757	29.7985	2005	2005	5	16	56	0	0
Africa	Uganda	UG	Gulu	2.687	32.660301	1998	2005	8	13	59	12	0.20339
Africa	Uganda	UG	Arua	3.25658	31.2983	1998	2005	9	16	63	26	0.4127
Africa	Uganda	UG	Kibaale	0.96595	30.6007	1998	2005	11	18	59	11	0.18644
Africa	Uganda	UG	Mubende	0.30206	31.839399	2002	2002	5	60	96	1	0.01
Africa	Uganda	UG	Arua	3.3063	31.2159	1998	2005	9	13	60	10	0.16667
